bs_lat,bs_lon,n_measurements,n_cells,n_5g_cells,n_dss_cells
42.9970786,12.5828131,16332,12,0,0
43.0583548,12.5461372,16108,7,0,0
43.0515734,12.5738403,10930,12,0,0
43.0102082,12.495179,10339,9,0,9
43.0506719,12.560037,6594,9,0,0
43.0709341,12.6146559,4813,2,0,0
43.007273,12.6510443,4315,6,0,0
43.0919407,12.4758492,4017,8,8,0
43.0700976,12.5005738,3908,9,9,0
42.9279232,12.5954064,3264,5,0,5
43.0265502,12.4383686,2946,6,0,0
42.8901906,12.6497874,2768,3,0,0
42.9826509,12.6727626,2516,5,0,0
43.1125075,12.3885998,2415,2,0,0
43.0418699,12.6271294,2152,5,0,0
43.1060038,12.5507948,2124,6,0,6
43.0465576,12.2455781,2122,3,0,0
43.0736679,12.6088945,1668,4,0,0
43.0938972,12.3997444,1611,5,5,0
42.9601925,12.6905726,1609,6,0,0
42.9505477,12.7212556,1495,7,0,0
43.0011511,12.4332594,1419,6,0,0
43.1122091,12.4528399,1363,9,9,0
43.0883812,12.3016015,1298,5,0,5
43.1531597,12.4424849,1242,6,6,0
43.0629682,12.5803856,1163,6,0,0
43.1282516,12.4520504,1159,6,0,0
43.1550755,12.5632874,960,4,0,4
42.9665745,12.6975887,953,3,0,0
43.0843628,12.4396546,924,11,11,0
43.1207673,12.2892289,855,5,0,0
43.096656,12.3174745,836,8,8,0
43.0835904,12.4546916,803,3,0,0
42.9825783,12.4197576,799,5,0,0
43.2695976,12.3947986,789,6,0,0
43.116441,12.3902429,779,6,0,0
42.9133265,12.5521352,766,2,0,0
42.9359906,12.7246432,742,7,0,7
43.1164154,12.5108945,705,6,6,0
42.9602255,12.721889,693,3,0,0
43.1249575,12.6448296,656,5,0,5
43.0328394,12.4004409,653,4,0,0
43.1106852,12.3890226,634,8,8,0
42.8670412,12.7324777,624,3,0,0
43.1082445,12.3470483,571,8,8,0
43.0646811,12.3009178,561,4,0,0
43.0173777,12.3610203,558,7,0,7
42.8772702,12.74768,546,4,0,0
43.092481,12.4238587,541,5,0,0
43.29671,12.3411301,537,10,0,0
43.0709503,12.5538615,535,8,0,8
42.9093911,12.7304414,532,2,0,0
43.1097359,12.3745472,524,4,4,0
43.1166255,12.4011548,516,3,0,0
43.1067063,12.446977,502,3,0,0
43.048687,12.3695514,458,4,0,0
43.1159185,12.4595208,445,2,0,0
43.0019447,12.6797372,423,3,0,0
43.1851243,12.6526876,416,7,0,0
43.0745199,12.3794648,415,3,0,0
43.0714242,12.6144917,407,3,0,0
43.1195188,12.3786223,403,4,0,0
43.11907,12.4066476,392,2,0,0
43.3066621,12.327037,390,7,0,7
42.9665686,12.6975904,387,3,0,0
43.1134796,12.3792238,386,5,0,0
43.1108477,12.4067486,360,5,0,0
43.0977264,12.3797116,356,8,8,0
42.9456443,12.4056933,338,2,0,0
42.9552031,12.7035119,316,4,0,4
43.0875679,12.4359905,313,3,0,0
43.1822317,12.4272088,312,4,0,0
43.2966913,12.3411221,295,6,0,0
43.0703146,12.4034073,288,3,3,0
43.1151227,12.3987147,280,3,0,0
43.0936901,12.4467966,268,3,0,0
43.095659,12.363572,267,2,0,2
43.0807438,12.3502513,254,2,0,0
43.1393481,12.4618336,223,3,3,0
43.127853,12.4028772,215,2,0,0
43.0812911,12.3401264,201,4,4,0
43.3291986,12.2477222,197,4,0,4
43.213001,12.6740017,196,3,0,0
43.0846737,12.4211557,191,3,0,0
43.1654339,12.5896831,172,2,0,2
43.0845605,12.441332,170,4,0,0
42.8965845,12.3226187,166,4,0,4
43.0517151,12.2256441,166,1,0,0
43.1472179,12.7647132,154,3,0,0
43.2376173,12.7737143,140,3,0,0
43.0995738,12.3640036,138,5,0,0
42.9841228,12.7390026,134,1,0,0
43.0965758,12.3751485,129,1,1,0
43.1063446,12.3602132,124,3,0,0
43.353177,12.2982148,117,3,0,0
43.0699107,12.324744,115,2,2,0
42.8160042,12.76219,114,2,2,0
43.0545009,12.3402391,112,1,0,1
43.1137519,12.392655,110,2,0,0
43.0942503,12.4028316,109,2,0,0
43.1223454,12.3100746,102,2,0,2
43.0164003,12.2909044,93,2,0,0
43.1067435,12.3921952,88,1,0,0
42.9535444,12.7068157,76,1,0,0
43.073691,12.3329301,76,2,2,0
43.0965023,12.3862816,75,1,0,0
42.8269137,12.6797765,73,1,0,1
43.1515051,12.2005736,72,2,0,2
43.0786764,12.3365723,68,3,0,0
43.4651365,12.2343822,63,3,3,0
43.2314153,12.7847702,63,1,0,0
43.3898028,12.2590538,61,4,0,0
43.1230137,12.379729,58,1,1,0
43.339882,12.3914593,56,3,0,0
43.1705804,12.301151,56,1,0,1
43.2823457,12.7842308,54,3,0,3
43.0981463,12.3934187,54,3,3,0
43.1067057,12.3880915,52,1,0,0
42.7564331,12.7395827,46,1,0,1
43.1145728,12.360057,42,3,0,0
43.1052732,12.3780629,42,1,0,0
43.2696048,12.3947589,41,1,0,0
43.1173583,12.224453,40,1,0,1
43.0665877,12.6190324,39,1,0,0
43.1216889,12.3741301,38,2,0,0
43.0807688,12.3502498,36,1,0,0
42.7285138,12.748586,36,1,0,0
43.4569904,12.238268,32,2,0,0
43.458647,12.2539568,29,2,0,2
43.2153212,12.7857906,26,1,0,0
43.3675026,12.2386184,18,1,0,0
43.2019452,12.5228562,17,1,0,0
43.0879695,12.3662418,17,1,0,0
43.2262265,12.5622751,16,1,0,1
42.7405216,12.7398927,14,1,1,0
43.1079637,12.3842233,14,1,0,0
43.0917163,12.3323425,14,1,0,0
43.4502291,12.2340814,13,1,0,0
43.0966753,12.3865105,11,1,0,0
43.0723211,12.3469168,11,1,1,0
43.0701026,12.6188161,11,1,0,0
