feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r
dist_bs_m,41036,-0.4359318854476778,0.0,-0.5455853962129171,0.0,0.5455853962129171
lat,43076,0.12209831717008512,1.016571828228932e-142,0.20787384211927698,0.0,0.20787384211927698
lon,43076,-0.16826215072389444,5.279355149117457e-271,-0.20159118315173596,0.0,0.20159118315173596
bs_is_5g,41036,0.174519225615648,5.626435480771007e-278,0.17897681339984042,1.7617729232116733e-292,0.17897681339984042
bs_has_dss,41036,-0.11140456108927863,1.8562533718669398e-113,-0.10379647562766103,1.145719180226683e-98,0.10379647562766103
bs_dem_alt_m,41036,-0.13948486582912817,2.400319221529451e-177,-0.0698527325215078,1.46248274747763e-45,0.0698527325215078
delta_alt_m,41036,0.10403567506332599,4.07643638434019e-99,0.05031330675319277,2.017978045860028e-24,0.05031330675319277
bs_band_num,41036,-0.05109893519078431,3.859804212359198e-25,-0.032347010652386134,5.5955681260529014e-11,0.032347010652386134
dem_alt_m,43076,-0.07437836497360911,6.661932573314698e-54,0.027433156630529087,1.2366741615844614e-08,0.027433156630529087
bs_sector_num,41036,-0.012571886857920688,0.010873021663424543,-0.019681249116073767,6.686805568086499e-05,0.019681249116073767
