method,method_group,variant,threshold_dbm,tp,fp,tn,fn,precision,recall,f1,accuracy,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_variogram_model,param_nlags,param_jitter_epsilon,param_outlier_strategy,param_outlier_mad_k,param_outlier_min_keep
2_kriging_v1,2_kriging,1,-105.0,25922,4026,12930,4919,0.8655669827701349,0.8405045231996369,0.8528516672424288,0.8128543632445551,111527,101042,47797,3.283338506000291,21.57207385000129,24.85541235600158,6,linear,6,0.01,mad,3.5,6
2_kriging_v2,2_kriging,2,-105.0,26060,4146,12810,4781,0.8627425014897703,0.844979086281249,0.8537684079479745,0.8132309559177354,111527,101042,47797,3.9005434890004835,21.824267262751164,25.724810751751647,6,linear,10,0.01,mad,3.5,6
2_kriging_v3,2_kriging,3,-105.0,26074,4200,12756,4767,0.8612670938759331,0.8454330274634415,0.8532766096702937,0.812394083310668,111527,101042,47797,9.775565038999957,22.03715885850056,31.81272389750052,6,spherical,6,0.01,mad,3.5,6
2_kriging_v4,2_kriging,4,-105.0,26473,3947,13009,4368,0.870249835634451,0.8583703511559287,0.8642692740895511,0.8260351068058664,111527,101042,47797,9.815346872000191,22.222920649500566,32.03826752150076,6,spherical,10,0.01,mad,3.5,6
2_kriging_v1,2_kriging,1,-110.0,35663,3683,5153,3298,0.9063945509073349,0.9153512486845821,0.9108508817857918,0.8539448082515639,111527,101042,47797,3.283338506000291,21.572090818000106,24.855429324000397,6,linear,6,0.01,mad,3.5,6
2_kriging_v2,2_kriging,2,-110.0,35790,3700,5136,3171,0.9063053937705748,0.9186109186109186,0.9124166677289008,0.8562462079209993,111527,101042,47797,3.9005434890004835,21.824243250750442,25.724786739750925,6,linear,10,0.01,mad,3.5,6
2_kriging_v3,2_kriging,3,-110.0,35397,3378,5458,3564,0.9128820116054158,0.9085239085239085,0.9106977462179685,0.8547607590434546,111527,101042,47797,9.775565038999957,22.037119922499414,31.81268496149937,6,spherical,6,0.01,mad,3.5,6
2_kriging_v4,2_kriging,4,-110.0,35942,3272,5564,3019,0.9165604120977202,0.9225122558455892,0.9195267029101375,0.8683808607234764,111527,101042,47797,9.815346872000191,22.222912764499824,32.038259636500015,6,spherical,10,0.01,mad,3.5,6
2_kriging_v1,2_kriging,1,-115.0,42893,2277,1303,1324,0.9495904361301749,0.9700567654974331,0.9597144998713459,0.9246605435487583,111527,101042,47797,3.283338506000291,21.572078803000295,24.855417309000586,6,linear,6,0.01,mad,3.5,6
2_kriging_v2,2_kriging,2,-115.0,42945,2263,1317,1272,0.9499424880552114,0.9712327837709478,0.9604696673189824,0.9260413833504195,111527,101042,47797,3.9005434890004835,21.824244319750505,25.72478780875099,6,linear,10,0.01,mad,3.5,6
2_kriging_v3,2_kriging,3,-115.0,42334,1763,1817,1883,0.9600199560060775,0.95741456905715,0.9587154924474036,0.9237190618658074,111527,101042,47797,9.775565038999957,22.037117277499647,31.812682316499604,6,spherical,6,0.01,mad,3.5,6
2_kriging_v4,2_kriging,4,-115.0,42929,1673,1907,1288,0.9624904712793149,0.9708709319944817,0.9666625384208333,0.9380505052618365,111527,101042,47797,9.815346872000191,22.222913558499613,32.038260430499804,6,spherical,10,0.01,mad,3.5,6
2_kriging_v1,2_kriging,1,-120.0,45971,684,231,911,0.9853391919408424,0.9805682351435518,0.9829479243507917,0.9666297047931879,111527,101042,47797,3.283338506000291,21.57206186699932,24.85540037299961,6,linear,6,0.01,mad,3.5,6
2_kriging_v2,2_kriging,2,-120.0,45981,692,223,901,0.9851734407473272,0.9807815366238641,0.9829725829725829,0.9666715484235412,111527,101042,47797,3.9005434890004835,21.824231861748558,25.72477535074904,6,linear,10,0.01,mad,3.5,6
2_kriging_v3,2_kriging,3,-120.0,45281,650,265,1601,0.9858483377239773,0.965850433002005,0.97574693200306,0.9529049940372827,111527,101042,47797,9.775565038999957,22.03712076549914,31.812685804499097,6,spherical,6,0.01,mad,3.5,6
2_kriging_v4,2_kriging,4,-120.0,45975,649,266,907,0.9860801304049417,0.9806535557356768,0.9833593566188266,0.9674456555850786,111527,101042,47797,9.815346872000191,22.2229103735001,32.03825724550029,6,spherical,10,0.01,mad,3.5,6
